case_id,project_name,project_type,implementing_agency,state,district,latitude,longitude,area_acquired_hectares,status,start_date,last_updated,duration_proposed_to_scrutiny,duration_scrutiny_to_notification,duration_notification_to_declaration,duration_declaration_to_award,duration_award_to_compensation,duration_compensation_to_possession,duration_possession_to_closed,legal_dispute_flag,dispute_type,dispute_duration_days,documentation_complete,pending_approvals_count,avg_approval_turnaround_days,stakeholder_responsiveness_score,compensation_assessed_inr,compensation_disbursed_inr,compensation_disbursed_pct,affected_families,displaced_families,rr_required,rr_progress_percent,cohort_benchmark_days,actual_total_duration_days,delay_days,delay_ratio,risk_category,delay_probability
PA-6011,South Delhi Railway Development Project,Railway,Delhi Development Authority,Delhi,South Delhi,28.51391,77.24498,368.49,Award Passed,2023-06-07,2023-08-25,57,96,93,94,56,108,59,True,Tribal Land Rights Objection,153,False,1,51,32.0,529911297,434527263,0.82,51,21,True,58,514,639,125,1.243,High,0.58
PA-6012,South Delhi Railway Development Project,Railway,NHAI,Delhi,South Delhi,28.54187,77.22967,322.8,Preliminary Notification Issued,2023-07-30,2023-10-26,18,61,64,65,45,52,104,False,,0,False,2,81,15.2,636572693,362846435,0.57,267,97,True,71,495,409,-86,0.826,High,0.46
PA-6013,New Delhi Urban Development Development Project,Urban Development,NHAI,Delhi,New Delhi,28.60482,77.227,188.48,Award Passed,2022-03-16,2023-01-16,27,87,57,83,55,90,96,False,,0,True,1,71,53.2,345918391,245602057,0.71,152,63,False,0,460,495,35,1.076,Low,0.12
PA-6014,South Delhi Railway Development Project,Railway,Delhi Metro Rail Corporation,Delhi,South Delhi,28.55162,77.23093,239.39,Preliminary Notification Issued,2022-01-20,2023-03-02,40,73,93,55,85,80,51,True,Ownership Dispute,269,True,2,22,43.9,603192278,168893837,0.28,134,15,True,65,473,611,138,1.292,High,0.52
PA-6015,East Delhi Urban Development Development Project,Urban Development,Delhi Metro Rail Corporation,Delhi,East Delhi,28.6604,77.2588,51.23,Under Scrutiny,2023-12-19,2025-01-16,58,63,91,49,108,105,113,True,Ownership Dispute,83,True,3,44,13.4,274939322,101727549,0.37,86,32,False,0,506,628,122,1.241,High,0.61
PA-6016,New Delhi Highway Development Project,Highway,Delhi Metro Rail Corporation,Delhi,New Delhi,28.66183,77.15834,35.4,Proposed,2022-06-15,2023-05-09,41,64,119,46,45,107,70,False,,0,False,2,20,61.7,318808762,63761752,0.2,82,18,True,70,408,492,84,1.206,High,0.46
PA-6017,South Delhi Urban Development Development Project,Urban Development,NHAI,Delhi,South Delhi,28.59366,77.20609,280.89,Award Passed,2024-04-18,2025-09-02,50,54,105,90,71,97,53,False,,0,False,1,44,39.5,99502484,94527359,0.95,38,2,False,0,548,520,-28,0.949,Medium,0.36
PA-6018,West Delhi Urban Development Development Project,Urban Development,Delhi Metro Rail Corporation,Delhi,West Delhi,28.72274,77.05599,113.1,Declaration Issued,2022-10-16,2024-08-19,31,85,60,37,50,88,104,False,,0,True,4,91,21.9,453181306,425990427,0.94,86,4,False,0,551,455,-96,0.826,Medium,0.31
PA-6019,North Delhi Irrigation Development Project,Irrigation,PWD Delhi,Delhi,North Delhi,28.63134,77.14626,73.27,Proposed,2022-09-28,2023-02-26,32,94,123,55,71,104,40,True,Compensation Dispute,310,True,1,14,92.1,412374551,131959856,0.32,113,5,True,60,403,674,271,1.672,High,0.52
PA-6020,West Delhi Irrigation Development Project,Irrigation,NHAI,Delhi,West Delhi,28.59587,76.9967,245.23,Under Scrutiny,2023-06-21,2025-01-17,56,48,45,95,120,94,104,False,,0,True,0,29,65.9,498240125,378662495,0.76,273,29,False,0,415,562,147,1.354,Low,0.13
PA-6021,New Delhi Renewable Energy Development Project,Renewable Energy,NHAI,Delhi,New Delhi,28.66613,77.22245,357.68,Under Scrutiny,2022-09-16,2023-01-30,44,38,104,98,51,107,48,True,Ownership Dispute,214,False,1,58,81.0,134524949,87441216,0.65,292,94,True,0,501,597,96,1.192,Critical,0.69
PA-6022,South Delhi Renewable Energy Development Project,Renewable Energy,PWD Delhi,Delhi,South Delhi,28.56119,77.13833,408.87,Closed,2023-05-13,2024-04-12,59,68,119,102,57,41,101,False,,0,True,0,46,75.2,292912401,61511604,0.21,95,17,False,0,395,547,152,1.385,Medium,0.28
PA-6023,Srinagar Irrigation Development Project,Irrigation,J&K Power Development Dept.,Jammu and Kashmir,Srinagar,34.11445,74.82541,121.03,Closed,2022-05-26,2024-01-12,43,64,89,56,66,49,114,False,,0,False,1,80,26.9,172185305,154966774,0.9,28,4,True,64,403,481,78,1.194,Medium,0.37
PA-6024,Anantnag Urban Development Development Project,Urban Development,J&K Power Development Dept.,Jammu and Kashmir,Anantnag,33.67232,75.19993,354.84,Under Scrutiny,2022-11-29,2024-01-09,24,83,84,78,80,55,82,False,,0,True,1,72,43.5,250795036,37619255,0.15,271,87,True,93,380,486,106,1.279,Medium,0.25
PA-6025,Srinagar Highway Development Project,Highway,J&K Power Development Dept.,Jammu and Kashmir,Srinagar,34.15408,74.74862,332.98,Award Passed,2024-03-02,2025-05-18,33,49,71,64,95,105,80,True,Boundary Dispute,229,False,3,85,16.5,539618139,404713604,0.75,44,7,True,84,428,611,183,1.428,Critical,0.79
PA-6026,Baramulla Renewable Energy Development Project,Renewable Energy,Border Roads Organisation,Jammu and Kashmir,Baramulla,34.27048,74.39351,179.51,Declaration Issued,2022-09-19,2023-08-11,50,46,61,90,93,83,76,False,,0,True,3,62,48.3,228791121,153290051,0.67,166,40,False,0,456,499,43,1.094,Medium,0.28
PA-6027,Jammu Industrial Corridor Development Project,Industrial Corridor,J&K Rural Development Dept.,Jammu and Kashmir,Jammu,32.69473,74.86617,51.89,Preliminary Notification Issued,2022-12-17,2024-09-06,43,84,57,100,64,71,51,False,,0,True,2,74,87.0,613731058,362101324,0.59,251,103,False,0,424,470,46,1.108,Medium,0.25
PA-6028,Jammu Railway Development Project,Railway,J&K Rural Development Dept.,Jammu and Kashmir,Jammu,32.70553,74.9065,66.54,Possession Taken,2022-11-16,2023-02-06,28,41,74,61,89,91,97,True,Tribal Land Rights Objection,137,True,0,53,73.9,614880087,227505632,0.37,204,20,True,80,490,549,59,1.12,High,0.53
PA-6029,Baramulla Industrial Corridor Development Project,Industrial Corridor,Border Roads Organisation,Jammu and Kashmir,Baramulla,34.24252,74.40691,276.43,Proposed,2023-08-07,2023-11-13,59,88,50,100,45,40,56,True,Tribal Land Rights Objection,269,False,1,41,76.6,320303866,86482043,0.27,287,125,True,92,439,572,133,1.303,Critical,0.69
PA-6030,Anantnag Urban Development Development Project,Urban Development,Border Roads Organisation,Jammu and Kashmir,Anantnag,33.80509,75.16894,404.05,Under Scrutiny,2022-09-10,2022-12-08,32,70,122,61,100,107,70,True,Compensation Dispute,298,False,2,34,43.0,320070455,249654954,0.78,20,1,True,58,520,711,191,1.367,Critical,0.65
PA-6031,Kathua Railway Development Project,Railway,Border Roads Organisation,Jammu and Kashmir,Kathua,32.39404,75.45245,122.33,Possession Taken,2023-04-22,2024-02-02,47,38,66,93,65,79,64,True,Ownership Dispute,247,False,2,39,51.9,442980106,318945676,0.72,205,66,True,37,439,575,136,1.31,High,0.64
PA-6032,Anantnag Urban Development Development Project,Urban Development,National Highways Authority of India,Jammu and Kashmir,Anantnag,33.66854,75.16848,419.0,Declaration Issued,2024-01-21,2024-07-14,24,83,46,37,63,90,97,False,,0,False,0,17,90.6,237177606,211088069,0.89,47,6,False,0,460,440,-20,0.957,Low,0.1
PA-6033,Jammu Urban Development Development Project,Urban Development,Border Roads Organisation,Jammu and Kashmir,Jammu,32.69928,74.80668,94.26,Proposed,2023-12-24,2025-06-20,22,56,88,75,79,95,51,True,Boundary Dispute,221,False,4,66,24.4,83082418,17447307,0.21,61,11,False,0,392,576,184,1.469,Critical,0.86
PA-6034,Udhampur Irrigation Development Project,Irrigation,Border Roads Organisation,Jammu and Kashmir,Udhampur,32.98312,75.09248,121.18,Proposed,2023-09-24,2024-01-06,31,54,48,107,83,86,74,False,,0,True,0,90,75.2,123647055,55641174,0.45,257,19,False,0,465,483,18,1.039,Low,0.16
PA-6035,Kathua Irrigation Development Project,Irrigation,J&K Rural Development Dept.,Jammu and Kashmir,Kathua,32.40043,75.59148,332.45,Under Scrutiny,2023-04-17,2024-06-20,26,31,78,49,117,70,81,True,Ownership Dispute,84,True,1,69,91.1,495017094,386113333,0.78,240,90,True,63,461,494,33,1.072,High,0.49
PA-6036,Udhampur Railway Development Project,Railway,National Highways Authority of India,Jammu and Kashmir,Udhampur,32.84864,75.09317,375.96,Possession Taken,2023-04-17,2025-03-12,41,93,130,87,62,69,57,True,Environmental Objection,276,True,1,51,23.7,538009152,462687870,0.86,56,8,True,12,486,677,191,1.393,High,0.56
PA-6037,Jammu Renewable Energy Development Project,Renewable Energy,J&K Rural Development Dept.,Jammu and Kashmir,Jammu,32.76628,74.91252,278.1,Award Passed,2023-06-23,2024-04-14,52,54,81,38,90,72,71,True,Tribal Land Rights Objection,167,True,3,43,26.9,345675002,103702500,0.3,140,15,False,0,509,541,32,1.063,Critical,0.7
PA-6038,Srinagar Highway Development Project,Highway,J&K Rural Development Dept.,Jammu and Kashmir,Srinagar,34.10823,74.87585,57.84,Closed,2024-03-04,2024-05-09,27,39,87,95,62,97,117,False,,0,True,1,67,87.7,123338216,104837483,0.85,139,13,True,74,446,524,78,1.175,Low,0.13
PA-6039,Udhampur Highway Development Project,Highway,J&K Power Development Dept.,Jammu and Kashmir,Udhampur,32.94955,75.11755,283.93,Compensation Disbursed,2022-04-14,2023-07-22,19,56,44,93,110,101,48,True,Ownership Dispute,160,True,3,93,87.7,92219006,74697394,0.81,229,73,True,39,484,551,67,1.138,High,0.56
PA-6040,Jammu Railway Development Project,Railway,Border Roads Organisation,Jammu and Kashmir,Jammu,32.74887,74.79158,347.25,Award Passed,2023-03-10,2023-09-02,38,55,90,81,66,40,95,True,Compensation Dispute,187,True,2,16,36.6,463520951,222490056,0.48,29,11,False,0,420,558,138,1.329,High,0.51
PA-6041,Baramulla Railway Development Project,Railway,National Highways Authority of India,Jammu and Kashmir,Baramulla,34.22145,74.32196,261.1,Proposed,2022-11-19,2023-03-13,21,79,102,55,78,56,45,True,Ownership Dispute,233,True,1,89,88.8,621663093,180282296,0.29,198,32,True,8,503,552,49,1.097,Critical,0.68
PA-6042,Kathua Urban Development Development Project,Urban Development,National Highways Authority of India,Jammu and Kashmir,Kathua,32.35216,75.58828,62.68,Declaration Issued,2022-02-09,2023-03-07,37,45,59,61,64,45,111,False,,0,False,3,35,80.5,276457752,165874651,0.6,41,8,True,49,552,422,-130,0.764,Medium,0.36
PA-6043,Udhampur Irrigation Development Project,Irrigation,Border Roads Organisation,Jammu and Kashmir,Udhampur,32.90892,75.19744,67.02,Award Passed,2022-04-20,2022-08-26,44,60,97,109,98,62,100,False,,0,True,1,94,41.2,620713189,310356594,0.5,31,1,False,0,482,570,88,1.183,Medium,0.28
PA-6044,Baramulla Urban Development Development Project,Urban Development,J&K Rural Development Dept.,Jammu and Kashmir,Baramulla,34.18745,74.39197,402.44,Proposed,2023-05-19,2024-05-07,23,33,48,108,128,54,64,False,,0,True,1,50,76.1,629199335,132131860,0.21,278,113,False,0,413,458,45,1.109,Low,0.19
PA-6045,West Garo Hills Railway Development Project,Railway,Meghalaya PWD,Meghalaya,West Garo Hills,25.54358,90.23797,178.4,Compensation Disbursed,2022-07-23,2023-03-26,28,63,118,94,70,80,87,False,,0,True,2,51,86.2,375271046,326485810,0.87,253,27,True,61,389,540,151,1.388,Low,0.13
PA-6046,Ri-Bhoi Railway Development Project,Railway,NHIDCL,Meghalaya,Ri-Bhoi,25.97875,91.94327,160.9,Under Scrutiny,2023-08-15,2024-03-11,31,98,120,80,87,73,88,False,,0,True,0,56,92.1,566446482,334203424,0.59,316,102,False,0,474,577,103,1.217,Low,0.17
PA-6047,East Khasi Hills Renewable Energy Development Project,Renewable Energy,Meghalaya PWD,Meghalaya,East Khasi Hills,25.56957,91.84158,24.03,Award Passed,2023-09-20,2024-01-04,42,83,105,76,46,56,102,False,,0,True,1,91,92.1,415704106,307621038,0.74,37,5,True,80,438,510,72,1.164,Low,0.11
PA-6048,East Khasi Hills Urban Development Development Project,Urban Development,NHIDCL,Meghalaya,East Khasi Hills,25.58954,91.8619,276.2,Declaration Issued,2022-01-12,2022-05-09,43,42,48,48,125,74,91,True,Compensation Dispute,331,True,1,56,63.0,589921940,165178143,0.28,27,11,True,19,447,636,189,1.423,High,0.56
PA-6049,South West Khasi Hills Urban Development Development Project,Urban Development,Meghalaya Rural Roads Dev. Agency,Meghalaya,South West Khasi Hills,25.36283,91.26516,140.3,Closed,2022-06-28,2024-01-29,27,48,92,55,106,104,93,True,Environmental Objection,52,True,2,13,44.5,335194939,93854582,0.28,73,4,False,0,536,551,15,1.028,High,0.59
PA-6050,Ri-Bhoi Renewable Energy Development Project,Renewable Energy,Meghalaya Rural Roads Dev. Agency,Meghalaya,Ri-Bhoi,25.97015,91.95905,408.62,Proposed,2024-03-18,2025-11-03,59,63,46,64,121,110,95,True,Boundary Dispute,268,True,1,93,48.5,322610256,306479743,0.95,153,21,True,42,555,692,137,1.247,Critical,0.65
PA-6051,Ri-Bhoi Railway Development Project,Railway,Meghalaya PWD,Meghalaya,Ri-Bhoi,25.97272,91.95442,245.99,Proposed,2024-01-13,2024-11-07,59,98,100,90,107,40,43,True,Ownership Dispute,133,False,3,51,26.3,497371153,203922172,0.41,142,28,False,0,491,603,112,1.228,Critical,0.83
PA-6052,Ri-Bhoi Urban Development Development Project,Urban Development,Meghalaya PWD,Meghalaya,Ri-Bhoi,25.99627,91.86265,375.97,Preliminary Notification Issued,2022-07-24,2024-03-21,55,35,129,38,45,48,115,True,Environmental Objection,87,True,1,30,39.3,232301247,164933885,0.71,35,2,False,0,473,508,35,1.074,High,0.55
PA-6053,East Khasi Hills Renewable Energy Development Project,Renewable Energy,Meghalaya Rural Roads Dev. Agency,Meghalaya,East Khasi Hills,25.63955,91.93422,34.61,Under Scrutiny,2022-09-20,2023-09-04,28,67,80,73,94,73,42,True,Ownership Dispute,87,True,4,91,17.4,388555913,205934633,0.53,87,7,False,0,469,500,31,1.066,Critical,0.75
PA-6054,Ri-Bhoi Urban Development Development Project,Urban Development,Meghalaya Rural Roads Dev. Agency,Meghalaya,Ri-Bhoi,26.01565,91.92308,323.68,Award Passed,2022-07-26,2023-07-16,28,41,113,66,61,95,40,False,,0,True,0,62,12.7,636866524,490387223,0.77,197,46,True,72,514,444,-70,0.864,Medium,0.28
PA-6055,East Khasi Hills Industrial Corridor Development Project,Industrial Corridor,North Eastern Electric Power Corp.,Meghalaya,East Khasi Hills,25.4995,91.89183,376.2,Closed,2023-02-15,2024-05-24,22,40,102,101,53,81,85,False,,0,False,1,75,32.1,250612594,95232785,0.38,129,54,True,21,404,484,80,1.198,High,0.46
PA-6056,East Khasi Hills Irrigation Development Project,Irrigation,North Eastern Electric Power Corp.,Meghalaya,East Khasi Hills,25.56634,91.91664,150.29,Award Passed,2022-08-25,2023-03-02,43,100,81,51,99,96,72,True,Tribal Land Rights Objection,286,True,2,90,29.9,574896208,143724052,0.25,37,7,True,19,528,685,157,1.297,Critical,0.71
PA-6057,West Garo Hills Renewable Energy Development Project,Renewable Energy,North Eastern Electric Power Corp.,Meghalaya,West Garo Hills,25.51503,90.1654,311.98,Preliminary Notification Issued,2024-03-24,2025-03-28,21,51,124,43,65,89,59,False,,0,False,0,87,54.4,252791213,85949012,0.34,116,17,False,0,417,452,35,1.084,High,0.46
PA-6058,Jaintia Hills Highway Development Project,Highway,NHIDCL,Meghalaya,Jaintia Hills,25.41381,92.28748,318.39,Declaration Issued,2023-08-11,2025-06-02,24,62,117,81,40,71,95,False,,0,True,1,11,43.9,548718430,384102901,0.7,276,122,True,2,559,490,-69,0.877,Medium,0.27
PA-6059,Jaintia Hills Renewable Energy Development Project,Renewable Energy,North Eastern Electric Power Corp.,Meghalaya,Jaintia Hills,25.50536,92.37686,224.89,Preliminary Notification Issued,2024-05-29,2025-09-20,55,50,72,84,101,98,42,False,,0,True,1,50,32.1,185083685,161022805,0.87,144,52,False,0,539,502,-37,0.931,Low,0.24
PA-6060,West Garo Hills Highway Development Project,Highway,Meghalaya Rural Roads Dev. Agency,Meghalaya,West Garo Hills,25.57692,90.17509,315.55,Closed,2022-12-18,2024-04-11,44,99,66,90,105,42,87,False,,0,True,1,42,56.2,252703437,181946474,0.72,122,31,True,73,513,533,20,1.039,Medium,0.25
PA-6061,Jaintia Hills Industrial Corridor Development Project,Industrial Corridor,Meghalaya PWD,Meghalaya,Jaintia Hills,25.40361,92.3795,202.16,Compensation Disbursed,2024-03-31,2025-07-05,52,63,53,58,78,91,107,False,,0,True,1,58,44.0,94289723,19800841,0.21,235,70,False,0,436,502,66,1.151,Medium,0.26
PA-6062,West Garo Hills Renewable Energy Development Project,Renewable Energy,North Eastern Electric Power Corp.,Meghalaya,West Garo Hills,25.45449,90.24686,210.04,Closed,2023-11-27,2024-08-03,45,75,69,64,130,88,72,False,,0,False,2,28,40.0,523762976,272356747,0.52,170,60,False,0,489,543,54,1.11,High,0.45
PA-6063,Ri-Bhoi Irrigation Development Project,Irrigation,Meghalaya Rural Roads Dev. Agency,Meghalaya,Ri-Bhoi,25.92728,91.9047,116.26,Closed,2022-03-15,2023-03-10,35,47,107,74,121,41,41,False,,0,False,1,94,86.2,244017456,217175535,0.89,217,15,False,0,433,466,33,1.076,Medium,0.35
PA-6064,East Khasi Hills Railway Development Project,Railway,Meghalaya Rural Roads Dev. Agency,Meghalaya,East Khasi Hills,25.59136,91.94997,286.85,Compensation Disbursed,2024-01-30,2025-06-22,55,68,65,93,128,67,107,False,,0,True,2,61,77.3,260294956,166588771,0.64,66,20,False,0,400,583,183,1.458,Medium,0.29
PA-6065,East Khasi Hills Railway Development Project,Railway,North Eastern Electric Power Corp.,Meghalaya,East Khasi Hills,25.58761,91.85562,184.62,Closed,2023-01-19,2024-05-29,15,50,81,89,129,103,77,False,,0,True,1,69,87.0,607606912,212662419,0.35,104,27,False,0,499,544,45,1.09,Medium,0.26
PA-6066,East Khasi Hills Renewable Energy Development Project,Renewable Energy,Meghalaya PWD,Meghalaya,East Khasi Hills,25.52768,91.87096,239.42,Proposed,2023-05-01,2024-12-19,60,83,120,46,83,52,86,False,,0,False,1,52,78.7,180905667,101307173,0.56,268,94,True,27,467,530,63,1.135,Medium,0.38
