case_id,project_name,project_type,implementing_agency,state,district,latitude,longitude,area_acquired_hectares,status,start_date,last_updated,duration_proposed_to_scrutiny,duration_scrutiny_to_notification,duration_notification_to_declaration,duration_declaration_to_award,duration_award_to_compensation,duration_compensation_to_possession,duration_possession_to_closed,legal_dispute_flag,dispute_type,dispute_duration_days,documentation_complete,pending_approvals_count,avg_approval_turnaround_days,stakeholder_responsiveness_score,compensation_assessed_inr,compensation_disbursed_inr,compensation_disbursed_pct,affected_families,displaced_families,rr_required,rr_progress_percent,cohort_benchmark_days,actual_total_duration_days,delay_days,delay_ratio,risk_category,delay_probability
PA-5390,Hooghly Industrial Node - DMIC Phase 2,Industrial Corridor,National Industrial Corridor Development Corp.,West Bengal,Hooghly,22.94993,88.40744,12.69,Declaration Issued,2023-09-12,2024-06-06,32,74,88,74,87,97,99,False,,0,True,3,32,70.7,108112543,94057912,0.87,213,50,True,50,540,631,91,1.169,Medium,0.26
PA-5391,Jalpaiguri Growth Corridor Development,Industrial Corridor,National Industrial Corridor Development Corp.,West Bengal,Jalpaiguri,26.53583,88.72556,27.42,Declaration Issued,2023-03-27,2023-12-24,31,69,94,78,103,87,95,False,,0,False,1,65,28.8,76223514,41922932,0.55,257,35,True,85,540,610,70,1.13,Low,0.21
PA-5392,Malda Metro Rail Extension - Phase 1,Urban Development,State Urban Development Authority,West Bengal,Malda,25.0017,88.16061,58.4,Declaration Issued,2023-02-13,2023-10-14,25,65,76,77,71,66,79,False,,0,True,0,55,43.6,301658600,51281962,0.17,268,71,True,65,450,520,70,1.156,Low,0.24
PA-5393,Murshidabad Industrial Node - DMIC Phase 27,Industrial Corridor,National Industrial Corridor Development Corp.,West Bengal,Murshidabad,24.07694,88.21917,67.96,Award Passed,2022-05-22,2023-07-29,37,86,115,87,108,105,123,True,Procedural Objection,194,True,4,38,47.5,363989410,120116505,0.33,44,1,True,87,540,767,227,1.42,High,0.6
PA-5394,Howrah Industrial Node - DMIC Phase 1,Industrial Corridor,National Industrial Corridor Development Corp.,West Bengal,Howrah,22.58206,88.25927,42.35,Closed,2024-03-20,2025-12-22,35,73,106,87,82,92,102,False,,0,True,2,10,84.9,130631158,88829187,0.68,80,30,True,66,540,643,103,1.191,Medium,0.29
PA-5395,Kolkata Growth Corridor Development,Industrial Corridor,National Industrial Corridor Development Corp.,West Bengal,Kolkata,22.61296,88.42153,11.0,Preliminary Notification Issued,2023-07-03,2024-02-02,34,71,109,74,90,99,101,False,,0,True,5,61,83.0,62599427,13771873,0.22,125,28,True,67,540,645,105,1.194,Medium,0.29
PA-5396,Kolkata Wind-Solar Hybrid Project,Renewable Energy,Solar Energy Corporation of India,West Bengal,Kolkata,22.59199,88.40699,60.31,Award Passed,2022-01-06,2022-10-07,19,50,72,63,70,71,62,True,Ownership Dispute,116,False,0,41,65.5,425789142,114963068,0.27,148,16,True,65,330,431,101,1.306,High,0.44
PA-5397,NH-48 Bardhaman-Murshidabad Greenfield Expressway,Highway,National Highways Authority of India,West Bengal,Bardhaman,23.28313,87.82915,98.98,Closed,2022-02-25,2023-07-04,21,68,68,67,82,65,68,False,,0,True,1,12,61.3,507225583,197817977,0.39,64,15,True,33,420,496,76,1.181,Medium,0.28
PA-5398,Kolkata Growth Corridor Development,Industrial Corridor,National Industrial Corridor Development Corp.,West Bengal,Kolkata,22.58407,88.39037,11.13,Award Passed,2023-08-01,2024-06-18,30,60,87,69,76,97,88,False,,0,True,2,80,74.4,63954348,8314065,0.13,209,19,True,100,540,571,31,1.057,Low,0.11
PA-5399,Bardhaman Canal Modernization Project,Irrigation,State Water Resources Department,West Bengal,Bardhaman,23.27711,87.80909,71.78,Under Scrutiny,2024-07-25,2024-10-11,20,58,63,65,60,77,76,False,,0,True,2,25,93.4,345129509,248493246,0.72,219,66,True,6,390,459,69,1.177,Medium,0.27
PA-5400,Bardhaman Ring Road Project,Urban Development,State Urban Development Authority,West Bengal,Bardhaman,23.20743,87.89761,82.69,Possession Taken,2023-08-22,2025-04-15,31,84,96,80,109,111,91,True,Environmental Objection,348,True,0,59,33.9,411778669,152358107,0.37,109,11,True,67,450,686,236,1.524,Critical,0.74
PA-5401,Nadia-Malda New Rail Line,Railway,Ministry of Railways / RVNL,West Bengal,Nadia,23.41496,88.51135,107.84,Closed,2022-12-11,2024-05-16,27,61,86,66,84,67,80,False,,0,True,0,21,98.4,785123512,714462395,0.91,263,101,True,37,480,503,23,1.048,Low,0.1
PA-5402,Murshidabad Industrial Node - DMIC Phase 3,Industrial Corridor,National Industrial Corridor Development Corp.,West Bengal,Murshidabad,24.09088,88.26558,7.97,Award Passed,2022-12-05,2024-01-30,35,74,108,100,104,96,98,False,,0,True,1,22,21.3,64434349,16108587,0.25,222,85,True,86,540,671,131,1.243,Medium,0.36
PA-5403,NH-19 Hooghly-Malda Greenfield Expressway,Highway,National Highways Authority of India,West Bengal,Hooghly,22.89282,88.35327,56.1,Compensation Disbursed,2024-04-05,2025-04-17,24,56,83,64,77,73,92,True,Procedural Objection,325,True,0,69,50.1,228883455,86975712,0.38,66,15,True,63,420,553,133,1.317,High,0.46
PA-5404,NH-48 Murshidabad Bypass Construction,Highway,National Highways Authority of India,West Bengal,Murshidabad,24.06523,88.19787,84.6,Possession Taken,2022-05-26,2023-09-06,27,59,75,68,75,82,82,False,,0,True,2,71,72.4,226765816,165539045,0.73,166,6,True,7,420,485,65,1.155,Low,0.24
PA-5405,Hooghly Metro Rail Extension - Phase 19,Urban Development,State Urban Development Authority,West Bengal,Hooghly,22.87296,88.41781,79.1,Compensation Disbursed,2024-05-17,2025-08-13,32,70,89,82,91,89,73,False,,0,True,3,88,98.5,192267579,24994785,0.13,84,2,True,3,450,571,121,1.269,Medium,0.39
PA-5406,Jalpaiguri Railway Station Redevelopment,Railway,Ministry of Railways / RVNL,West Bengal,Jalpaiguri,26.46163,88.78877,10.36,Closed,2024-05-28,2025-12-22,27,66,73,68,98,95,83,True,Environmental Objection,158,True,0,50,35.4,71502243,30030942,0.42,71,11,True,75,480,572,92,1.192,Medium,0.29
PA-5407,Nadia Solar Park - 19 MW,Renewable Energy,Solar Energy Corporation of India,West Bengal,Nadia,23.41385,88.50368,90.73,Preliminary Notification Issued,2022-09-23,2023-02-02,23,50,59,50,75,74,73,True,Procedural Objection,277,True,2,36,32.9,472896736,179700759,0.38,279,102,True,38,330,448,118,1.358,High,0.51
PA-5408,Malda-Murshidabad Doubling Project,Railway,Ministry of Railways / RVNL,West Bengal,Malda,24.95585,88.11753,91.99,Compensation Disbursed,2023-06-12,2024-09-07,33,79,89,82,81,89,82,False,,0,True,1,79,90.9,289390697,66559860,0.23,220,5,True,86,480,587,107,1.223,Medium,0.33
PA-5409,Murshidabad Solar Park - 1 MW,Renewable Energy,Solar Energy Corporation of India,West Bengal,Murshidabad,24.0815,88.21409,9.09,Preliminary Notification Issued,2022-08-22,2022-12-12,19,39,54,45,60,54,55,False,,0,True,0,27,30.8,63134740,35355454,0.56,83,32,True,35,330,363,33,1.1,Low,0.17
PA-5410,Bardhaman Metro Rail Extension - Phase 44,Urban Development,State Urban Development Authority,West Bengal,Bardhaman,23.26125,87.80623,37.25,Proposed,2022-07-18,2022-08-17,30,62,97,77,90,74,79,False,,0,True,2,60,36.8,65190815,61931274,0.95,328,115,True,6,450,579,129,1.287,High,0.42
PA-5411,Howrah Metro Rail Extension - Phase 44,Urban Development,State Urban Development Authority,West Bengal,Howrah,22.55129,88.30584,23.41,Compensation Disbursed,2024-04-07,2025-05-10,26,70,90,63,74,75,89,False,,0,False,4,14,46.9,106678363,67207368,0.63,131,1,True,17,450,550,100,1.222,Medium,0.33
PA-5412,NH-1 Howrah-Bardhaman Greenfield Expressway,Highway,National Highways Authority of India,West Bengal,Howrah,22.56386,88.26319,81.08,Preliminary Notification Issued,2022-03-29,2022-10-19,31,79,94,84,98,92,90,True,Environmental Objection,184,True,0,89,66.4,348136925,278509540,0.8,54,3,True,15,420,597,177,1.421,High,0.6
PA-5413,Howrah Metro Rail Extension - Phase 27,Urban Development,State Urban Development Authority,West Bengal,Howrah,22.60316,88.2718,98.19,Compensation Disbursed,2023-06-28,2024-07-13,27,67,83,57,64,83,72,False,,0,False,2,30,57.5,669559770,187476735,0.28,104,27,True,63,450,504,54,1.12,Low,0.19
PA-5414,NH-65 Howrah-Kolkata Greenfield Expressway,Highway,National Highways Authority of India,West Bengal,Howrah,22.57532,88.22161,21.83,Award Passed,2023-06-27,2024-04-13,24,66,78,55,68,73,68,False,,0,True,1,69,56.1,145784341,96217665,0.66,214,15,True,17,420,491,71,1.169,Medium,0.26
PA-5415,Malda Ring Road Project,Urban Development,State Urban Development Authority,West Bengal,Malda,25.02517,88.14713,16.18,Possession Taken,2023-03-12,2024-06-14,27,57,71,68,81,84,72,False,,0,True,2,55,64.4,48191547,38553237,0.8,232,88,True,22,450,489,39,1.087,Low,0.15
PA-5416,Hooghly Industrial Node - DMIC Phase 1,Industrial Corridor,National Industrial Corridor Development Corp.,West Bengal,Hooghly,22.87736,88.33978,75.22,Preliminary Notification Issued,2022-09-11,2023-04-27,42,87,99,107,103,99,122,True,Compensation Dispute,77,True,2,27,39.4,303934232,3039342,0.01,168,52,True,75,540,740,200,1.37,High,0.53
PA-5417,NH-1 Kolkata Bypass Construction,Highway,National Highways Authority of India,West Bengal,Kolkata,22.54519,88.33377,12.78,Declaration Issued,2023-01-13,2023-07-28,22,48,66,60,60,58,65,False,,0,True,0,42,39.6,109252053,84124080,0.77,104,29,True,34,420,436,16,1.038,Low,0.08
PA-5418,NH-48 Nadia-Hooghly Greenfield Expressway,Highway,National Highways Authority of India,West Bengal,Nadia,23.41148,88.5559,15.37,Declaration Issued,2024-03-22,2024-10-08,21,51,66,62,66,76,61,False,,0,True,0,76,52.5,91743330,73394664,0.8,63,17,True,0,420,458,38,1.09,Low,0.15
PA-5419,Jalpaiguri Solar Park - 2 MW,Renewable Energy,Solar Energy Corporation of India,West Bengal,Jalpaiguri,26.54218,88.68946,89.01,Award Passed,2024-07-15,2025-02-07,17,43,53,47,47,52,55,False,,0,True,4,15,54.8,160684501,65880645,0.41,103,5,True,31,330,370,40,1.121,Low,0.2
