project_id,risk_category,duration_proposed_to_scrutiny,duration_scrutiny_to_notification,duration_notification_to_declaration,duration_declaration_to_award,duration_award_to_compensation,duration_compensation_to_possession,duration_possession_to_closed,area_acquired_hectares,dispute_duration_days,pending_approvals_count,avg_approval_turnaround_days,stakeholder_responsiveness_score,compensation_assessed_inr,compensation_disbursed_inr,compensation_disbursed_pct,affected_families,displaced_families,rr_progress_percent,cohort_benchmark_days,legal_dispute_flag,documentation_complete,rr_required,project_type,state,status,dispute_type
PRJ-00059,Medium,97,62,99,42,96,41,74,7.93,70,1,48.9,1.8,58387.0,58387.0,1.0,123,11,49.2,498,1,1,1,Resettlement,Andhra Pradesh,on_hold,title_dispute
PRJ-00060,Medium,91,83,128,68,59,95,43,3.52,53,0,20.8,3.4,26606.0,26087.0,0.9805,375,176,75.2,789,0,1,1,Power Line,Andhra Pradesh,active,compensation
PRJ-00061,Medium,100,50,112,50,112,54,76,11.4,1,1,33.2,5.7,66278.0,45937.0,0.6931,69,15,99.9,427,0,1,1,Resettlement,Gujarat,active,boundary
PRJ-00062,High,50,86,165,138,117,76,65,8.47,255,3,13.5,5.1,56646.0,24743.0,0.4368,245,93,39.7,574,1,0,0,Power Line,Tamil Nadu,completed,none
PRJ-00063,Medium,49,75,103,60,98,131,74,6.92,145,0,35.3,6.6,24686.0,12382.0,0.5016,82,9,77.7,688,0,0,1,Highway,Madhya Pradesh,planned,encroachment
PRJ-00064,High,49,51,137,55,97,95,62,11.76,188,1,24.1,5.2,325730.0,170031.0,0.522,402,168,57.0,630,1,1,1,Highway,Gujarat,completed,legal_challenge
PRJ-00065,Medium,97,75,137,118,87,105,65,2.67,17,0,53.4,3.8,46614.0,23545.0,0.5051,490,298,37.2,720,0,1,1,Railway,Rajasthan,completed,boundary
PRJ-00066,Low,83,47,60,48,64,133,53,8.19,0,0,34.7,0.8,89137.0,87203.0,0.9783,154,4,100.0,547,0,1,1,Railway,Tamil Nadu,planned,compensation
PRJ-00067,Low,68,75,73,121,72,40,42,3.35,13,0,37.0,3.4,197147.0,152473.0,0.7734,470,99,94.2,472,0,1,1,Resettlement,Gujarat,active,encroachment
PRJ-00068,Low,78,33,66,57,59,96,58,1.15,43,0,59.8,3.2,124666.0,83701.0,0.6714,363,116,98.2,539,0,1,1,Railway,Rajasthan,on_hold,encroachment
PRJ-00069,Medium,42,60,118,61,102,53,50,4.09,11,0,40.1,2.8,119390.0,59611.0,0.4993,497,268,96.6,694,1,1,1,Border Infrastructure,Maharashtra,on_hold,legal_challenge
PRJ-00070,High,95,58,164,65,96,108,69,6.47,156,3,39.4,2.5,340138.0,134082.0,0.3942,474,105,80.0,699,0,1,0,Railway,Rajasthan,planned,compensation
PRJ-00071,Medium,52,54,77,86,56,105,48,3.59,17,0,9.0,1.2,77358.0,64679.0,0.8361,173,56,74.3,653,0,1,1,Resettlement,Madhya Pradesh,completed,boundary
PRJ-00072,Medium,85,36,108,51,54,138,42,30.62,51,0,43.6,3.5,172214.0,83558.0,0.4852,400,129,64.3,663,0,0,1,Highway,Andhra Pradesh,completed,none
PRJ-00073,Low,66,59,131,53,45,46,57,19.1,34,1,52.9,3.8,833605.0,833605.0,1.0,325,114,84.2,426,0,1,0,Border Infrastructure,Andhra Pradesh,completed,none
PRJ-00074,Low,54,54,98,88,35,35,38,1.96,9,0,48.4,0.7,140794.0,137795.0,0.9787,368,46,98.9,682,0,1,1,Power Line,Madhya Pradesh,completed,none
PRJ-00075,High,66,75,89,49,71,104,81,9.45,212,3,28.4,6.0,3277546.0,1257267.0,0.3836,265,149,16.2,612,1,1,0,Border Infrastructure,Karnataka,planned,title_dispute
PRJ-00076,Medium,94,48,88,81,96,54,56,13.48,58,1,12.2,3.5,105110.0,96501.0,0.9181,387,272,75.4,435,0,1,1,Border Infrastructure,Gujarat,active,encroachment
PRJ-00077,High,81,66,121,108,61,93,84,8.55,217,5,22.9,2.0,108164.0,31292.0,0.2893,448,53,8.2,675,0,1,1,Resettlement,Andhra Pradesh,planned,boundary
PRJ-00078,Critical,78,80,133,85,95,124,52,8.83,310,2,31.1,4.1,1141790.0,89745.0,0.0786,297,90,10.1,797,0,0,1,Border Infrastructure,Andhra Pradesh,completed,boundary
PRJ-00079,Critical,75,44,145,144,47,71,69,3.85,61,7,32.9,3.2,320874.0,75341.0,0.2348,499,235,0.0,451,0,1,0,Border Infrastructure,Uttar Pradesh,active,encroachment
PRJ-00080,High,88,75,101,49,76,124,55,5.59,68,0,29.4,1.4,41120.0,6546.0,0.1592,245,153,18.4,535,0,1,1,Highway,Madhya Pradesh,active,encroachment
PRJ-00081,High,80,67,153,101,42,130,69,1.89,156,5,41.2,4.6,253963.0,91528.0,0.3604,23,11,42.3,520,0,1,1,Resettlement,Karnataka,completed,boundary
PRJ-00082,Critical,113,82,149,131,113,105,63,10.36,316,0,46.9,2.4,109963.0,0.0,0.0,232,30,2.4,553,0,0,0,Power Line,Gujarat,planned,encroachment
PRJ-00083,Low,51,45,93,88,54,67,41,1.59,39,0,9.0,1.2,1624917.0,1624917.0,1.0,294,160,80.6,492,0,1,1,Resettlement,Rajasthan,on_hold,encroachment
PRJ-00084,High,91,69,78,96,83,102,73,28.87,66,2,47.1,4.0,293058.0,0.0,0.0,241,122,4.5,635,1,0,0,Railway,Uttar Pradesh,active,encroachment
PRJ-00085,Medium,71,50,102,74,90,89,52,15.05,77,1,20.0,4.0,128177.0,74253.0,0.5793,332,255,35.8,753,0,1,1,Power Line,Rajasthan,active,none
PRJ-00086,Medium,81,42,117,67,106,82,69,2.82,69,1,39.8,1.8,289514.0,138446.0,0.4782,363,85,51.9,737,0,0,0,Border Infrastructure,Uttar Pradesh,planned,compensation
PRJ-00087,High,91,63,157,132,77,81,76,8.52,90,3,28.3,1.7,50361.0,0.0,0.0,117,59,27.1,717,0,1,0,Railway,Maharashtra,completed,boundary
PRJ-00088,High,92,76,104,59,41,107,67,1.31,102,4,26.5,2.7,162247.0,31297.0,0.1929,22,10,60.0,774,1,0,0,Power Line,Tamil Nadu,planned,title_dispute
PRJ-00089,Medium,59,61,120,139,44,47,61,1.22,55,1,9.4,4.8,55997.0,45134.0,0.806,276,110,68.4,539,0,1,0,Power Line,West Bengal,completed,compensation
PRJ-00090,Medium,46,70,99,90,97,98,60,1.75,17,0,41.8,2.1,188085.0,74388.0,0.3955,391,302,38.3,746,0,1,1,Resettlement,Madhya Pradesh,on_hold,none
PRJ-00091,Low,59,33,91,91,47,81,63,7.42,3,0,56.0,1.8,524456.0,524456.0,1.0,237,69,100.0,783,0,1,1,Resettlement,Andhra Pradesh,planned,encroachment
PRJ-00092,Low,35,60,69,100,78,86,31,1.9,7,0,24.8,1.4,470774.0,355105.0,0.7543,473,230,65.2,731,0,1,1,Highway,West Bengal,active,encroachment
PRJ-00093,Low,67,51,148,71,112,107,40,3.16,2,0,53.3,3.8,400069.0,330137.0,0.8252,257,23,74.7,520,0,1,1,Power Line,Rajasthan,completed,none
PRJ-00094,High,60,70,117,138,88,120,47,32.2,163,3,47.1,5.5,179142.0,39984.0,0.2232,485,369,31.7,416,0,0,1,Border Infrastructure,Andhra Pradesh,active,encroachment
PRJ-00095,Medium,38,43,161,85,106,78,50,0.44,121,1,10.8,2.6,23772.0,14025.0,0.59,36,11,85.6,497,1,1,1,Resettlement,Gujarat,planned,title_dispute
PRJ-00096,Medium,47,87,83,110,113,76,48,3.34,6,0,10.6,1.6,54552.0,24434.0,0.4479,407,108,53.9,464,1,1,1,Highway,Madhya Pradesh,active,title_dispute
PRJ-00097,Medium,53,57,106,69,45,114,50,2.99,25,1,27.8,0.8,510577.0,341423.0,0.6687,401,47,39.5,705,1,0,1,Highway,Gujarat,active,legal_challenge
PRJ-00098,Low,34,41,124,44,62,49,32,2.02,1,0,35.1,3.9,153256.0,131111.0,0.8555,12,3,100.0,521,0,0,1,Industrial,Tamil Nadu,on_hold,compensation
PRJ-00099,Low,53,46,96,97,92,126,63,11.18,3,0,29.1,1.2,648245.0,648245.0,1.0,234,145,93.1,662,1,1,1,Power Line,Tamil Nadu,completed,legal_challenge
PRJ-00100,High,93,71,87,106,60,121,68,3.73,263,6,9.7,3.6,1141915.0,521741.0,0.4569,159,58,11.8,415,1,0,1,Railway,Gujarat,planned,title_dispute
PRJ-00101,High,91,51,102,61,91,118,56,7.28,161,0,26.0,4.3,40602.0,15380.0,0.3788,465,30,61.2,711,1,0,0,Border Infrastructure,Uttar Pradesh,planned,encroachment
PRJ-00102,Critical,48,88,166,94,118,122,75,8.14,269,3,41.1,3.0,118711.0,0.0,0.0,237,95,0.0,620,1,1,0,Railway,Telangana,on_hold,encroachment
PRJ-00103,Medium,70,62,158,69,51,65,75,1.53,52,2,49.9,3.2,48028.0,31055.0,0.6466,178,117,65.9,604,0,0,1,Power Line,Andhra Pradesh,active,encroachment
PRJ-00104,High,106,76,108,115,116,141,41,4.16,31,0,44.9,2.5,17363.0,2410.0,0.1388,430,29,33.2,621,1,0,1,Resettlement,Rajasthan,active,title_dispute
PRJ-00105,Critical,97,71,124,118,103,139,76,2.72,274,4,30.4,2.6,40535.0,65.0,0.0016,348,34,0.0,581,1,1,0,Industrial,West Bengal,planned,legal_challenge
PRJ-00106,High,94,51,129,110,84,70,57,5.6,108,0,5.3,6.7,30963.0,16847.0,0.5441,300,121,34.4,479,0,0,1,Power Line,Uttar Pradesh,planned,boundary
PRJ-00107,High,116,57,120,108,100,100,58,17.2,125,4,5.2,1.0,68906.0,21740.0,0.3155,397,259,81.0,714,0,1,1,Resettlement,Andhra Pradesh,planned,boundary
PRJ-00108,Low,71,36,109,78,65,81,59,2.72,64,0,50.4,2.8,61458.0,51459.0,0.8373,476,129,100.0,403,0,1,0,Power Line,Telangana,on_hold,none
PRJ-00109,High,81,49,119,98,53,78,70,5.22,82,4,28.2,3.9,240986.0,43233.0,0.1794,219,79,41.7,480,0,1,0,Industrial,Karnataka,planned,none
PRJ-00110,Low,65,54,80,61,52,37,33,2.94,49,0,33.5,2.8,121489.0,115062.0,0.9471,350,22,76.5,626,0,1,1,Railway,Telangana,planned,none
PRJ-00111,Medium,69,57,88,52,84,85,56,9.21,62,3,13.7,3.4,68861.0,37880.0,0.5501,274,146,54.0,423,0,1,1,Industrial,Rajasthan,planned,boundary
PRJ-00112,High,70,56,162,82,71,121,65,2.94,113,3,8.4,2.5,29836.0,11433.0,0.3832,66,0,19.4,782,0,0,1,Resettlement,Gujarat,active,compensation
PRJ-00113,High,39,66,164,97,104,50,59,9.09,191,2,59.0,2.2,381011.0,203688.0,0.5346,41,13,43.6,779,1,0,1,Power Line,Andhra Pradesh,active,legal_challenge
PRJ-00114,Medium,76,52,85,59,57,68,72,10.11,132,2,11.3,2.1,143778.0,61796.0,0.4298,153,14,40.6,410,1,1,1,Resettlement,Karnataka,completed,legal_challenge
PRJ-00115,Critical,114,83,154,108,85,122,72,4.28,41,5,8.4,4.7,63403.0,12725.0,0.2007,437,37,0.0,623,1,1,0,Railway,Tamil Nadu,completed,title_dispute
PRJ-00116,Medium,59,65,112,61,94,115,72,2.98,28,0,18.1,3.1,148514.0,77198.0,0.5198,266,134,67.9,671,0,1,1,Resettlement,Uttar Pradesh,on_hold,compensation
PRJ-00117,Low,59,36,113,102,52,96,79,9.07,13,0,16.2,0.5,967256.0,967256.0,1.0,93,44,100.0,789,0,1,1,Resettlement,West Bengal,active,compensation
PRJ-00118,Critical,93,52,156,132,78,136,84,3.84,267,4,20.2,2.2,120657.0,0.0,0.0,447,347,0.0,561,1,0,1,Border Infrastructure,Madhya Pradesh,completed,title_dispute
PRJ-00119,High,100,73,125,136,74,140,67,5.27,106,4,39.9,1.2,2396174.0,1086425.0,0.4534,42,10,28.8,631,1,1,1,Power Line,Madhya Pradesh,on_hold,boundary
PRJ-00120,High,98,73,127,108,68,92,73,7.22,12,4,30.3,5.4,369064.0,92893.0,0.2517,470,304,33.5,733,0,1,0,Railway,Karnataka,completed,encroachment
PRJ-00121,Critical,82,69,162,125,100,100,84,3.23,42,7,30.9,2.6,976775.0,0.0,0.0,335,46,0.0,526,0,1,0,Border Infrastructure,Maharashtra,planned,boundary
PRJ-00122,Critical,108,60,152,125,91,93,56,6.82,181,5,6.8,5.9,481863.0,103890.0,0.2156,401,108,0.0,706,1,1,1,Industrial,Telangana,on_hold,boundary
PRJ-00123,Medium,96,60,111,50,62,73,70,8.74,84,0,35.1,3.1,116682.0,97114.0,0.8323,175,11,68.3,739,0,1,1,Highway,West Bengal,completed,boundary
PRJ-00124,High,102,70,144,42,108,108,54,8.17,183,2,50.6,4.1,41521.0,19079.0,0.4595,421,43,15.8,759,0,1,0,Industrial,Uttar Pradesh,planned,boundary
PRJ-00125,Medium,74,49,99,101,41,120,71,3.54,66,1,41.7,3.8,489655.0,248892.0,0.5083,97,73,65.1,574,1,1,1,Highway,Andhra Pradesh,completed,legal_challenge
PRJ-00126,Low,114,69,103,41,86,80,38,3.08,23,0,10.2,2.5,433620.0,433620.0,1.0,264,162,57.4,778,0,0,1,Industrial,Madhya Pradesh,active,compensation
PRJ-00127,Medium,58,63,110,113,58,81,56,2.58,57,0,37.5,0.9,110760.0,39563.0,0.3572,374,130,90.1,610,0,1,0,Industrial,Telangana,completed,compensation
PRJ-00128,High,81,69,122,100,47,74,56,5.03,84,3,31.0,4.9,42553.0,14132.0,0.3321,467,311,43.5,588,0,1,1,Resettlement,Telangana,completed,compensation
PRJ-00129,Medium,35,49,76,57,67,112,62,4.51,107,1,33.2,3.4,43074.0,23725.0,0.5508,423,67,51.3,709,1,1,0,Border Infrastructure,Madhya Pradesh,on_hold,encroachment
PRJ-00130,High,107,68,152,146,60,87,64,0.79,53,3,28.2,4.1,648146.0,29555.0,0.0456,47,28,17.6,539,1,1,0,Railway,West Bengal,planned,title_dispute
PRJ-00131,High,100,49,129,106,81,69,66,2.74,11,5,46.3,3.6,950043.0,0.0,0.0,32,10,14.6,591,1,1,1,Highway,Uttar Pradesh,active,encroachment
PRJ-00132,Critical,111,79,100,139,52,114,51,8.22,339,4,5.6,0.8,8612.0,1858.0,0.2157,410,47,19.7,419,0,1,0,Industrial,West Bengal,planned,boundary
PRJ-00133,High,98,69,121,107,67,82,72,12.55,24,0,29.6,3.0,10626.0,2614.0,0.246,136,23,10.9,476,0,1,0,Power Line,Tamil Nadu,completed,encroachment
PRJ-00134,Low,66,59,117,61,43,65,37,11.44,14,0,54.0,1.6,19555.0,19555.0,1.0,332,210,85.6,634,0,1,1,Resettlement,Karnataka,active,boundary
PRJ-00135,Medium,66,66,127,82,60,140,59,2.53,63,1,42.9,3.8,139638.0,79105.0,0.5665,154,52,32.0,714,1,1,0,Railway,Madhya Pradesh,planned,title_dispute
PRJ-00136,Critical,43,81,140,93,114,70,87,3.36,33,7,22.3,2.2,16163.0,0.0,0.0,283,114,10.5,659,1,1,1,Power Line,Tamil Nadu,planned,legal_challenge
PRJ-00137,Medium,47,55,109,99,88,72,46,0.88,2,1,19.3,1.4,688405.0,262558.0,0.3814,408,22,72.1,523,0,1,1,Highway,Madhya Pradesh,completed,boundary
PRJ-00138,Low,66,48,89,140,89,78,51,1.85,12,0,39.1,3.2,16535.0,16535.0,1.0,421,216,99.6,798,0,1,1,Power Line,Telangana,on_hold,compensation
PRJ-00139,High,104,49,154,67,100,85,80,18.45,181,0,56.9,3.7,238687.0,103351.0,0.433,155,24,0.7,502,1,1,1,Industrial,Tamil Nadu,planned,title_dispute
PRJ-00140,Medium,57,68,111,89,73,93,74,2.28,8,1,58.9,4.8,935381.0,454315.0,0.4857,151,43,50.6,799,1,0,0,Railway,Rajasthan,completed,legal_challenge
PRJ-00141,Critical,90,74,169,45,88,123,78,10.0,200,5,43.1,2.7,42552.0,0.0,0.0,178,138,3.0,654,0,1,1,Highway,Rajasthan,on_hold,encroachment
PRJ-00142,Medium,37,66,142,103,52,104,68,8.89,93,0,41.2,3.1,47555.0,27140.0,0.5707,284,66,32.9,452,1,0,1,Resettlement,Andhra Pradesh,planned,title_dispute
PRJ-00143,High,49,60,93,122,109,57,83,1.21,61,5,33.7,2.1,124391.0,37168.0,0.2988,184,65,25.8,772,1,1,1,Resettlement,Rajasthan,completed,legal_challenge
PRJ-00144,Medium,69,53,110,118,105,91,78,2.54,18,0,22.7,0.8,13638.0,8199.0,0.6012,348,177,23.2,586,0,1,1,Railway,West Bengal,completed,boundary
